Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,Credit_History,Education_Not Graduate,Gender_Male,Married_Yes,Property_Area_Semiurban,Property_Area_Urban,Self_Employed_Yes
1.0,3.465772208953239,0.9855166806865031,-1.008879659855111,0.1097393512473466,1,1.0,False,True,True,True,False,True
1.0,-0.9624931762974815,-1.0147543185608885,-1.506956155907679,-1.0129582224241247,0,0.0,False,True,True,False,False,True
0.0,-0.7797951920314133,-1.0147543185608885,-1.7559944039339628,0.1097393512473466,1,1.0,False,False,False,False,False,False
1.0,0.17629767982072309,-1.0147543185608885,-1.1333987838682529,0.1097393512473466,0,1.0,True,False,False,False,False,False
1.0,-0.6335631550620198,0.9440094952834666,0.4853498283025926,0.1097393512473466,0,0.0,False,True,True,False,False,False
1.0,3.01770931032668,-1.0147543185608885,1.4565989956051,-2.2220171479164783,1,1.0,False,True,True,False,False,False
0.0,-0.49111698663528475,0.9276897910379297,-0.08743814215786046,0.1097393512473466,0,0.0,True,True,True,True,False,False
2.0,-0.5532923041157134,0.897652164273653,0.04953289425659571,0.1097393512473466,0,1.0,False,True,True,False,True,False
0.0,-0.3528635111482234,0.9796929168009162,0.21140775547368026,0.1097393512473466,0,1.0,False,True,True,False,False,False
0.0,0.26891965312223665,1.1217367088676595,0.6098689523157346,0.1097393512473466,1,1.0,False,True,False,True,False,False
0.0,-0.4070388178903083,-1.0147543185608885,1.0830416235656741,0.1097393512473466,0,1.0,False,True,True,False,False,False
3.0,-1.1714950863481768,-1.0147543185608885,0.04953289425659571,0.1097393512473466,0,0.0,True,False,False,False,True,False
2.0,-0.9038966449873178,-1.0147543185608885,-0.3364763901841444,0.1097393512473466,0,1.0,True,True,True,False,False,False
0.0,-0.9378656319725069,-1.0147543185608885,-1.6563791047234493,0.1097393512473466,0,0.0,False,True,True,False,True,False
2.0,0.011907213208783352,0.8680569945228311,0.061984806657909904,0.1097393512473466,0,1.0,True,True,True,False,False,False
0.0,-0.5681739217719995,0.6137575991210947,-1.506956155907679,0.1097393512473466,0,1.0,True,True,True,False,False,False
0.0,-0.23517634400378615,-1.0147543185608885,-0.46099551419728635,0.1097393512473466,1,1.0,False,False,True,True,False,False
0.0,0.7865618480996815,-1.0147543185608885,-0.2119572661710024,0.1097393512473466,0,0.0,False,True,False,False,False,False
0.0,-0.2868940678944552,-1.0147543185608885,-1.257917907881395,0.1097393512473466,0,0.0,False,False,False,False,True,False
1.0,-0.9624931762974815,-1.0147543185608885,-1.506956155907679,-1.0129582224241247,0,0.0,False,True,True,False,False,True
2.0,-0.35332651505274715,0.9440094952834666,-0.36138021498677275,0.1097393512473466,0,0.0,True,True,True,False,False,False
0.0,0.2113530536545203,-1.0147543185608885,-0.759841411828827,0.1097393512473466,1,1.0,True,True,True,False,True,True
1.0,-0.9624931762974815,-1.0147543185608885,-1.506956155907679,-1.0129582224241247,0,0.0,False,True,True,False,False,True
1.0,-0.7025812141870205,0.88044178192816,-0.3364763901841444,-2.2220171479164783,0,0.0,True,True,True,False,False,False
2.0,-0.5821326298779873,-1.0147543185608885,-2.029936476762875,-2.2220171479164783,0,0.0,True,True,True,False,True,False
0.0,-0.2476920269500449,0.9745776241527964,-0.187053441368374,0.1097393512473466,0,0.0,False,True,True,False,False,False
0.0,-0.9856217250985305,-1.0147543185608885,-0.6851299374209419,0.1097393512473466,0,0.0,False,False,False,True,False,False
0.0,1.4343091328409299,1.1178953974417318,1.5064066452103566,0.1097393512473466,1,1.0,False,True,False,False,False,False
3.0,0.23479868770914647,-1.0147543185608885,-0.7847452366314555,0.1097393512473466,0,0.0,True,True,True,True,False,False
0.0,0.3290334514682854,-1.0147543185608885,-0.5855146382104283,0.1097393512473466,0,0.0,False,False,False,True,False,False
2.0,0.668990974527542,-1.0147543185608885,0.16160010586842347,0.1097393512473466,1,1.0,False,True,True,True,False,False
0.0,-0.8187012381296758,-1.0147543185608885,-1.2828217326840232,0.1097393512473466,0,1.0,False,True,False,False,True,False
3.0,0.3027320029107042,-1.0147543185608885,0.03708098185528151,0.1097393512473466,0,1.0,True,True,True,True,False,False
0.0,-0.24724420121290328,0.8407531765259455,-0.6602261126183135,0.1097393512473466,0,1.0,True,True,False,False,False,False
0.0,-0.3528635111482234,0.9796929168009162,0.21140775547368026,0.1097393512473466,0,1.0,False,True,True,False,False,False
0.0,0.7247492306604422,-1.0147543185608885,2.278425214091837,0.1097393512473466,0,0.0,True,True,True,False,False,False
1.0,-0.04956135322291175,1.0050339415766052,0.7841957259341333,0.1097393512473466,0,0.0,True,True,False,False,True,True
